Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Duracan 1 Capsule,28.0,Antifungal medication to treat fungal infections.,Consult a doctor before use if pregnant or breastfeeding. May cause gastrointestinal discomfort.,Feminine & Sexual Health,Vaginal Infection,Capsules,English
Anodesyn Ointment,29.5,"Relieves pain, itching, and discomfort associated with hemorrhoids.",For external use only. Avoid contact with eyes. Consult a doctor if symptoms persist.,Digestive Health,Hemorrhoids,Cream/Ointment,English
Xylocaine 10% Lidocaine Pump Spray,29.5,Provides topical anesthesia for pain relief.,Avoid contact with eyes. Do not exceed recommended dosage. Consult a doctor if irritation occurs.,First Aid,Oral Care,Spray,English
Roxonin 60Mg,30.5,Relieves pain and inflammation.,May cause gastrointestinal upset. Consult a doctor before use if you have kidney or liver problems.,Pain & Fever,Muscle Pain,Tablets,English
Tetralysal 300/408Mg,31.5,Antibiotic for the treatment of acne and other bacterial infections.,May cause photosensitivity. Avoid prolonged sun exposure. Consult a doctor if you experience severe side effects.,Skin Care,Infections,Capsules,English
Azi-Once 250mg Azithromycin,32.5,Antibiotic to treat bacterial infections.,Take as directed by your doctor. May cause gastrointestinal upset. Consult a doctor if you experience severe side effects.,First Aid,General Antiseptic,Capsules,English
Methycobal 500mcg Methylcobalamin,32.5,Vitamin B12 supplement for nerve health.,Consult a doctor before use if you have any underlying medical conditions.,Vitamins & Supplements,Vitamin B12,Tablets,English
Tenormin 50mg Atenolol,29.5,Treats high blood pressure and angina.,Take as directed by your doctor. Do not stop taking this medication without consulting your doctor.,Vitamins & Supplements,Minerals,Tablets,English
Tacroz forte Tacrolimus 0.1% ointment,35.0,Treats eczema and other skin conditions.,For external use only. Avoid contact with eyes. Consult a doctor if irritation occurs.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Roxonin tape 100 mg,39.5,Provides targeted pain relief for muscles and joints.,Do not apply to broken skin. Remove immediately if irritation occurs. Consult a doctor if pain persists.,Pain & Fever,Muscle Pain,Patch/Plaster,English
Doxylag 100mg,36.0,Treats bacterial infections.,Take as directed by your doctor. May cause photosensitivity. Consult a doctor if you experience severe side effects.,First Aid,General Antiseptic,Capsules,English
Aldactone 100mg,37.0,Treats high blood pressure and fluid retention.,Take as directed by your doctor. Monitor potassium levels regularly. Consult a doctor if you experience any unusual symptoms.,Vitamins & Supplements,Minerals,Tablets,English
BENZAC AC 2.5% Gel,40.0,Treats acne with benzoyl peroxide.,"For external use only. Avoid contact with eyes and mucous membranes. May cause irritation. Start with one application daily, then gradually increase.",Skin Care,Inflammation/Irritation,Gel,English
Hicet 5mg Tablets,40.5,Relieves allergy symptoms with levocetirizine.,May cause drowsiness. Do not use with alcohol or other sedatives. Consult a doctor if symptoms persist.,Allergies & Sinus,Hay Fever (Allergic Rhinitis),Tablets,English
Vigamox Eye Solution,41.0,Treats bacterial eye infections.,For ophthalmic use only. Do not touch the dropper tip to any surface. Consult a doctor if symptoms worsen or persist.,Eye Care,Infection/Inflammation,Eye Drops,English
Neurobion Ampoules,42.0,Supports nerve health with B vitamins.,Consult a doctor before use if you have any medical conditions or are taking other medications.,Vitamins & Supplements,Vitamin B12,Vials,English
Predo Syrup,42.5,Treats inflammation and allergic reactions.,Use with caution in patients with diabetes or glaucoma. Long-term use may cause side effects. Consult a doctor.,Allergies & Sinus,Allergies,Syrup/Liquid,English
Protomax MUPS 40mg Tablets,44.0,Reduces stomach acid production to relieve heartburn.,Take on an empty stomach. Consult a doctor if symptoms persist after 14 days.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Benzac AC 5% Gel,47.25,Treats acne with benzoyl peroxide.,"For external use only. Avoid contact with eyes and mucous membranes. May cause irritation. Start with one application daily, then gradually increase.",Skin Care,Inflammation/Irritation,Gel,English
Lipanthyl 145mg Tablets,45.0,Helps lower cholesterol and triglycerides.,Take as directed by your doctor. Regular blood tests are required. May interact with other medications.,Vitamins & Supplements,Omega-3 Fatty Acids,Tablets,English
Amoxil 500mg Capsules,45.5,Fights bacterial infections with amoxicillin.,Take the full course of treatment. May cause allergic reactions. Consult a doctor if symptoms worsen.,First Aid,General Antiseptic,Capsules,English
Suprax 100mg Susp,45.5,Treats bacterial infections with cefixime.,Take as directed by your doctor. May cause diarrhea. Consult a doctor if symptoms worsen.,First Aid,General Antiseptic,Suspension,English
Imavir 5% Cream,45.5,Treats herpes simplex virus infections.,Apply as directed. Start treatment as early as possible. Avoid contact with eyes.,Skin Care,Infections,Cream/Ointment,English
Famodar 40mg Tablets,46.0,Reduces stomach acid production to relieve heartburn.,Take as directed. Consult a doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Hyfresh Gel,48.0,Lubricating ophthalmic gel for dry eyes.,For external use only. Consult a doctor if irritation persists.,Eye Care,Dry Eyes,Eye Gel,English
Nadixa Cream,48.5,Treats bacterial skin infections.,For external use only. Avoid contact with eyes.,Skin Care,Infections,Cream/Ointment,English
Amoclan BID,49.0,Antibiotic for bacterial infections.,Take as prescribed by your doctor. May cause gastrointestinal upset.,First Aid,General Antiseptic,Tablets,English
Klavox,49.0,Antibiotic for bacterial infections.,Take as prescribed by your doctor. May cause gastrointestinal upset.,First Aid,General Antiseptic,Tablets,English
Curam,49.0,Antibiotic to fight bacterial infections.,Take as directed by your physician. May cause diarrhea.,First Aid,General Antiseptic,Capsules,English
Nolvadex,49.5,Hormone therapy medication.,Use only as directed by your physician. See package insert for full prescribing information.,Vitamins & Supplements,Herbal Supplements,Tablets,English
Monuril,50.0,Single-dose treatment for urinary tract infections.,Dissolve in water before taking. Consult a doctor if symptoms persist.,First Aid,General Antiseptic,Sachets,English
Omiz,52.0,Reduces stomach acid production.,Take before meals. Consult a doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Capsules,English
Wafi,53.0,Treats erectile dysfunction.,"Consult a doctor before use, especially if you have heart problems.",Feminine & Sexual Health,Erectile Dysfunction,Tablets,English
Acne Max Gel,53.5,Treats acne and blemishes.,For external use only. Avoid contact with eyes. May cause skin irritation.,Skin Care,Inflammation/Irritation,Gel,English
Azomycin,56.5,Antibiotic for bacterial infections.,Take as prescribed by your doctor. Complete the full course of treatment.,First Aid,General Antiseptic,Capsules,English
Claritt,57.5,Antibiotic to treat bacterial infections.,Take as directed by your physician. May cause gastrointestinal upset.,First Aid,General Antiseptic,Tablets,English
Losec Mups 20mg Tablets,58.0,Reduces stomach acid production for relief from heartburn and acid reflux.,Consult your doctor if symptoms persist. May interact with other medications.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Gloclav 625mg Film Coated Tablets,58.5,Broad-spectrum antibiotic for bacterial infections.,Take as prescribed by your doctor. May cause allergic reactions or gastrointestinal upset.,First Aid,General Antiseptic,Tablets,English
Pataday 0.2% Eye Drops,59.5,Relieves itchy eyes due to allergies.,For external use only. Consult your doctor if irritation persists.,Eye Care,Allergies,Eye Drops,English
Lulizol 1% Cream,61.0,Antifungal cream for topical treatment of fungal infections.,For external use only. Avoid contact with eyes.,Skin Care,Infections,Cream/Ointment,English
Zyloric Allopurinol 300mg Tablets,41.5,Reduces uric acid levels to prevent gout and kidney stones.,Take as prescribed by your doctor. May cause drowsiness.,Pain & Fever,Joint Pain,Tablets,English
Zyloric Allopurinol 100mg Tablets,52.0,Reduces uric acid levels to prevent gout and kidney stones.,Take as prescribed by your doctor. May cause drowsiness.,Pain & Fever,Joint Pain,Tablets,English
ClariSpray Menthol Nasal Spray,38.5,Provides fast relief from nasal congestion with a menthol burst.,Do not use more than directed. Consult a doctor if symptoms persist.,Allergies & Sinus,Nasal Congestion,Spray,English
Innermost The Rise Blend Coffee Sachets,180.0,Vegan coffee blend to boost energy and focus.,Contains caffeine. Limit consumption to avoid restlessness or insomnia.,Vitamins & Supplements,Herbal Supplements,Sachets,English
Lactacol 30Mg,125.0,Relieves bloating and abdominal discomfort caused by gas.,Consult your doctor if symptoms persist. May interact with other medications.,Digestive Health,Gas/Bloating,Tablets,English
Systane Hydration Preservative-Free Lubricant Eye Drops,79.0,Provides long-lasting relief from dry eye symptoms.,For external use only. Discard vial after single use.,Eye Care,Dry Eyes,Eye Drops,English
Systane Ultra Lubricant Eye Drops,63.0,Provides relief from dry eye symptoms.,For external use only. Discard vial after single use.,Eye Care,Dry Eyes,Eye Drops,English
Martiderm Shots Retinol Renew,305.0,"Renews skin for a smoother, more youthful appearance.",For external use only. Avoid contact with eyes.,Skin Care,Scarring,Liquid,English
Moov Rapid Relief Spray,23.0,Fast relief for muscle and joint pain.,Avoid contact with eyes and mucous membranes. Do not apply to broken skin.,Pain & Fever,Muscle Pain,Spray,English
Moov Rapid Relief Ointment,19.5,Fast-acting cream for soothing muscle and joint pain.,Avoid contact with eyes and mucous membranes. Do not apply to broken skin.,Pain & Fever,Muscle Pain,Cream/Ointment,English
Silvano Spray,78.0,Spray for general first aid and antiseptic use.,For external use only. Keep out of reach of children.,First Aid,General Antiseptic,Spray,English
Artelac Complete,61.5,Provides complete relief for dry eyes.,Consult your doctor if irritation persists or increases.,Eye Care,Dry Eyes,Eye Drops,English
Methylcobal Injection,64.0,Vitamin B12 supplement for treating deficiencies.,Administered by a healthcare professional only.,Vitamins & Supplements,Vitamin B12,Injection,English
Duphaston,71.5,Progesterone supplement for hormonal balance.,"Consult your doctor before use, especially if pregnant or breastfeeding.",Feminine & Sexual Health,Hormonal Imbalance,Tablets,English
Nebilet,73.5,Medication for managing high blood pressure.,Consult your doctor before use. Do not stop taking this medication abruptly.,Vitamins & Supplements,,Tablets,English
Pariet,75.0,Reduces stomach acid production for heartburn relief.,Consult your doctor if symptoms persist. Take as directed.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Atacand,76.0,Medication for managing high blood pressure.,Consult your doctor before use. Do not stop taking this medication abruptly.,Vitamins & Supplements,,Tablets,English
Diamicron MR,76.0,Helps control blood sugar levels in adults with type 2 diabetes.,Take as directed by your doctor. Monitor blood sugar levels regularly.,Vitamins & Supplements,,Tablets,English
Dalacin Vaginal Ovule,77.0,Treats vaginal infections with a single-dose ovule.,For vaginal use only. Consult your doctor if symptoms persist.,Feminine & Sexual Health,Vaginal Infection,Ovules,English
Zomig,79.0,Relieves migraine headache pain.,"Consult your doctor before use, especially if you have heart problems.",Pain & Fever,Headache,Tablets,English
Risek 20Mg Tabs,40.5,Reduces stomach acid production.,Consult your doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Pantoloc 40Mg Tabs,80.5,Reduces stomach acid production.,Consult your doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Gloxib 200Mg,81.0,Relieves pain and inflammation.,Do not exceed recommended dosage. Consult a doctor if you have kidney problems.,Pain & Fever,Muscle Pain,Tablets,English
Takepron 30Mg Caps,83.5,Reduces stomach acid production.,Consult your doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Capsules,English
Suprax 400Mg Caps,83.5,Fights bacterial infections.,Take as prescribed by your doctor. Complete the full course of treatment.,First Aid,General Antiseptic,Capsules,English
Zinoximor 500Mg,84.5,Fights bacterial infections.,Take as prescribed by your doctor. Complete the full course of treatment.,First Aid,General Antiseptic,Tablets,English
Gloclav 1G Fct,85.5,Fights bacterial infections.,Take as prescribed by your doctor. Complete the full course of treatment.,First Aid,General Antiseptic,Tablets,English
Cozaar 50Mg Tab,88.5,Helps to lower high blood pressure.,Consult your doctor for proper dosage and monitoring.,Vitamins & Supplements,Minerals,Tablets,English
Norvasc 5Mg Caps,89.0,Helps to lower high blood pressure.,Consult your doctor for proper dosage and monitoring.,Vitamins & Supplements,Minerals,Capsules,English
Micardis 40Mg Tabs,97.0,Helps to lower high blood pressure.,Consult your doctor for proper dosage and monitoring.,Vitamins & Supplements,Minerals,Tablets,English
Zinnat 500Mg Tabs,90.5,Fights bacterial infections.,Take as prescribed by your doctor. Complete the full course of treatment.,First Aid,General Antiseptic,Tablets,English
Emilok 40Mg,104.0,Helps to lower high blood pressure.,Consult your doctor for proper dosage and monitoring.,Vitamins & Supplements,Minerals,Tablets,English
Cosopt Eye Drops,87.0,Reduces pressure inside the eye.,"Consult your doctor if you experience eye pain, vision changes, or persistent irritation.",Eye Care,Redness,Eye Drops,English
Atacand 8Mg Tabs,76.0,Helps lower blood pressure.,Consult your doctor before use if you are pregnant or breastfeeding.,Vitamins & Supplements,Herbal Supplements,Tablets,English
X-Pert 10Mg Orodispersible,112.0,Fast-dissolving tablet for quick relief.,Keep out of reach of children.,Allergies & Sinus,Hay Fever (Allergic Rhinitis),Tablets,English
Zovirax 200Mg Dispers Tabs,113.0,Antiviral medication to treat infections.,Consult your doctor if symptoms worsen or persist.,Skin Care,Infections,Tablets,English
Zovirax 5% Cream,105.5,Topical antiviral cream for skin infections.,Avoid contact with eyes. Consult your doctor if irritation occurs.,Skin Care,Infections,Cream/Ointment,English
Celebrex 200Mg Caps,123.0,Relieves pain and inflammation.,Consult your doctor before use if you have heart problems or stomach ulcers.,Pain & Fever,Joint Pain,Tablets,English
Hemagel Gel,133.0,Supports wound healing.,For external use only. Avoid contact with eyes.,First Aid,Wound Care,Gel,English
Gasec 20Mg Caps,81.0,Reduces stomach acid production.,Consult your doctor if symptoms persist after 14 days.,Digestive Health,Acid Reflux/Heartburn,Capsules,English
Nurse Harvey’s BabyRub Balm,37.0,Soothes and comforts your baby.,Keep out of reach of children. For external use only.,Children's Health,Cough,Cream/Ointment,English
Salonpas Gel,16.5,Provides targeted pain relief.,Avoid contact with eyes and mucous membranes.,Pain & Fever,Muscle Pain,Gel,English
Salonpas Jet Spray,36.0,Fast-acting pain relief spray.,Flammable. Keep away from heat and open flame.,Pain & Fever,Muscle Pain,Spray,English
Thermo Relax Self Heating Patch,63.5,Provides soothing heat for back and shoulder pain.,Do not use on broken or irritated skin.,Pain & Fever,Back Pain,Patch,English
Olbas Inhalant Oil 12ml,34.25,Relieves nasal congestion with natural essential oils.,Keep out of reach of children. Avoid contact with eyes. For external use only.,"Cough, Cold & Flu",Nasal Congestion,Drops,English
Olbas Inhalant Oil 30ml,45.0,Relieves nasal congestion with natural essential oils.,Keep out of reach of children. Avoid contact with eyes. For external use only.,"Cough, Cold & Flu",Nasal Congestion,Drops,English
Daivobet Gel,137.0,Treats psoriasis to reduce inflammation and scaling.,For external use only. Avoid contact with eyes. Consult your doctor before use if pregnant or breastfeeding.,Skin Care,Inflammation/Irritation,Gel,English
Zovirax 400mg Tablets,139.0,Antiviral medication to treat herpes infections.,Consult your doctor before use. Complete the full course of treatment. Keep out of reach of children.,Skin Care,Infections,Tablets,English
Lanfast 30mg Capsules,139.0,Reduces stomach acid production to relieve heartburn and acid reflux.,Take as directed by your doctor. Keep out of reach of children. May cause drowsiness.,Digestive Health,Acid Reflux/Heartburn,Capsules,English
Daivobet Ointment,119.0,Treats psoriasis to reduce inflammation and scaling.,For external use only. Avoid contact with eyes. Consult your doctor before use if pregnant or breastfeeding.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Micardis 80mg Tablets,142.0,Manages high blood pressure.,Take as directed by your doctor. Regular monitoring is required. Keep out of reach of children.,Vitamins & Supplements,Minerals,Tablets,English
Ursofalk 250mg Capsules,142.5,Dissolves gallstones and treats liver disease.,Take as directed by your doctor. Regular monitoring is required. Keep out of reach of children.,Digestive Health,Indigestion,Capsules,English
Valtrex 500mg Tablets,143.0,Antiviral medication to treat herpes infections.,Consult your doctor before use. Complete the full course of treatment. Keep out of reach of children.,Skin Care,Infections,Tablets,English
Tamiflu 75mg Capsules,144.5,Antiviral medication to treat influenza (flu).,Take as directed by your doctor. Start within 48 hours of symptom onset. Keep out of reach of children.,"Cough, Cold & Flu",Flu,Capsules,English
Elidel 1% Cream,145.0,Treats eczema by reducing inflammation and itching.,For external use only. Avoid contact with eyes. Consult your doctor before use if pregnant or breastfeeding.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Twynsta 80/5mg Tablets,147.0,Manages high blood pressure.,Take as directed by your doctor. Regular monitoring is required. Keep out of reach of children.,Vitamins & Supplements,Minerals,Tablets,English
Systane Complete PF Lubricant Eye Drops,78.5,Relieves dry eye symptoms with a preservative-free formula.,For external use only. Consult a doctor if condition worsens or persists.,Eye Care,Dry Eyes,Eye Drops,English
Mirvaso Brimonidine Gel,228.0,Reduces facial redness associated with rosacea.,For external use only. Avoid contact with eyes. Consult a doctor if irritation occurs.,Skin Care,Inflammation/Irritation,Gel,English
Daivobet Calcipotriol & Betamethasone Ointment,246.0,Treats plaque psoriasis by reducing inflammation and scaling.,For external use only. Do not use on the face unless directed by a doctor. Avoid prolonged sun exposure.,Skin Care,Inflammation/Irritation,Ointment,English
Visanne Dienogest Tablets,253.0,Manages endometriosis symptoms by reducing endometrial tissue growth.,"Consult your doctor before use, especially if you have a history of blood clots or liver disease.",Feminine & Sexual Health,Hormonal Imbalance,Tablets,English
Forxiga Dapagliflozin Tablets,259.5,Used to treat type 2 diabetes by lowering blood sugar levels.,"Consult your doctor before use, especially if you have kidney problems or are taking other diabetes medications.",Vitamins & Supplements,Minerals,Tablets,English
TRI-LUMA Cream,262.0,Fades dark spots and discoloration associated with melasma.,For external use only. Avoid sun exposure and use sunscreen. May cause skin irritation.,Skin Care,Scarring,Cream/Ointment,English
Enstilar Cutaneous Foam,264.0,Treats plaque psoriasis with a convenient foam application.,"For external use only. Avoid contact with eyes. Flammable, keep away from open flame.",Skin Care,Inflammation/Irritation,Spray,English
Symbicort Turbuhaler Inhalation Powder,272.5,Controls asthma and COPD symptoms by opening airways and reducing inflammation.,Use as directed by your doctor. Rinse mouth after each use to prevent thrush.,"Cough, Cold & Flu",Cough,Spray,English
Plavix Clopidogrel Tablets,306.0,Prevents blood clots in patients at risk of heart attack or stroke.,"Consult your doctor before use, especially if you have a history of bleeding disorders.",Vitamins & Supplements,Minerals,Tablets,English
Aldara Imiquimod Cream,365.0,"Treats certain skin cancers, genital warts, and actinic keratosis.",For external use only. May cause skin irritation. Avoid sun exposure.,Skin Care,Infections,Cream/Ointment,English
Mounjaro KwikPen Tirzepatide Injection,1734.0,Helps manage blood sugar levels in adults with type 2 diabetes.,Use as directed by your doctor. Monitor blood sugar levels regularly.,Vitamins & Supplements,Minerals,Injection,English
Viagra Sildenafil Tablets,106.0,Treats erectile dysfunction by increasing blood flow to the penis.,"Consult your doctor before use, especially if you have heart problems or are taking nitrates.",Feminine & Sexual Health,Erectile Dysfunction,Tablets,English
Mounjaro KwikPen Tirzepatide 10mg/0.6ml,1734.0,Injectable medication for blood sugar control.,Consult your doctor before use. Follow prescribed dosage. Store properly.,Vitamins & Supplements,,Injection,English
Hevert Sinusitis Tablets,52.0,Relieves sinus pressure and congestion.,Consult a healthcare professional if symptoms persist. Keep out of reach of children.,Allergies & Sinus,Sinus Pressure/Pain,Tablets,English
Mebo Herbal & Natural Ointment,66.0,Promotes skin healing with herbal ingredients.,For external use only. Avoid contact with eyes. Discontinue use if irritation occurs.,Skin Care,Wound Care,Cream/Ointment,English
Mounjaro KwikPen Tirzepatide 7.5mg/0.6ml,1734.0,Injectable medication for blood sugar control.,Consult your doctor before use. Follow prescribed dosage. Store properly.,Vitamins & Supplements,,Injection,English
Snafi Tadalafil 5mg Tablets,156.0,Treats erectile dysfunction.,Consult your doctor before use. Do not take with nitrates. May cause side effects.,Feminine & Sexual Health,Erectile Dysfunction,Tablets,English
Janumet 50mg/500mg Tablets,185.0,Helps control blood sugar levels.,Take as directed by your doctor. Monitor blood sugar regularly. Be aware of potential side effects.,Vitamins & Supplements,,Tablets,English
Mounjaro KwikPen Tirzepatide 12.5mg/0.6ml,1734.0,Injectable medication for blood sugar control.,Consult your doctor before use. Follow prescribed dosage. Store properly.,Vitamins & Supplements,,Injection,English
Nexium 40mg Esomeprazole Tablets,110.0,Reduces stomach acid production for heartburn relief.,Take as directed. May cause side effects. Consult your doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
New Gel Medical Grade Silicone Gel Sheet,225.0,Reduces the appearance of scars.,Use as directed. Clean and dry the area before application. Discontinue use if irritation occurs.,Skin Care,Scarring,Gel,English
Diclo 150 ID Diclofenac Sodium 150mg,55.5,Relieves pain and inflammation.,"Take with food. May cause stomach upset. Consult your doctor before use, especially if you have heart or kidney problems.",Pain & Fever,Muscle Pain,Tablets,English
Esolief Oral Gel Sticks,120.0,Provides relief from gastric reflux.,Use as directed. Consult a doctor if symptoms persist. Keep out of reach of children.,Digestive Health,Acid Reflux/Heartburn,Gel,English
Concor AM Bisoprolol 10mg Amlodipine 10mg Tablets,69.0,Treats high blood pressure.,Take as prescribed by your doctor. Monitor blood pressure regularly. Be aware of potential side effects.,Vitamins & Supplements,,Tablets,English
Glucophage XR 1000mg Tablets,38.5,Manage blood sugar levels with these extended-release tablets.,"Consult your doctor before use, especially if you have kidney problems.",Vitamins & Supplements,,Tablets,English
Panadol Migraine Tablets,32.0,Provides effective relief from migraine pain.,Do not exceed the stated dose. Consult a doctor if symptoms persist.,Pain & Fever,Headache,Tablets,English
Euthyrox Levothyroxine 50mcg Tablets,20.0,Thyroid hormone replacement therapy.,Take on an empty stomach. Regular monitoring by a doctor is essential.,Vitamins & Supplements,,Tablets,English
Viagra Sildenafil 100mg Tablets,159.0,Treatment for erectile dysfunction.,"Consult your doctor before use, especially if you have heart conditions.",Feminine & Sexual Health,Erectile Dysfunction,Tablets,English
Nexium 20mg Esomeprazole Tablets,78.5,Reduces stomach acid production for heartburn relief.,Take as directed. Consult a doctor if symptoms persist.,Digestive Health,Acid Reflux/Heartburn,Tablets,English
Strepsils Honey & Lemon Lozenges,33.06,Soothes sore throats with honey and lemon flavor.,"Do not exceed the stated dose. If symptoms persist, consult your doctor.","Cough, Cold & Flu",Sore Throat,Lozenges,English
Nexcare ColdHot Therapy Pack Comfort,39.73,Provides soothing relief for pain and swelling with hot or cold therapy.,Follow instructions carefully. Do not apply directly to skin without a protective barrier.,First Aid,,Spray,English
Janumet 50mg/1000mg Tablets,201.5,Manage blood sugar levels with this combination medication.,"Consult your doctor before use, especially if you have kidney problems.",Vitamins & Supplements,,Tablets,English
Rejuvaskin Scar Fx Silicone Sheeting,220.0,Reduces the appearance of scars with silicone sheeting.,Clean and dry the scar area before application. Follow instructions for use.,Skin Care,Scarring,Cream/Ointment,English
Meloderm 0.25% Beta Sitosterol Cream,66.0,Promotes skin healing and reduces inflammation.,For external use only. Avoid contact with eyes.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Voltaren 100mg Diclofenac Suppository,30.0,Provides relief from pain and inflammation.,For rectal use only. Consult a doctor before use.,Pain & Fever,Muscle Pain,Cream/Ointment,English
Snafi Tadalafil 20mg Tablets,184.5,Treatment for erectile dysfunction.,"Consult your doctor before use, especially if you have heart conditions.",Feminine & Sexual Health,Erectile Dysfunction,Tablets,English
Bella Contact Lenses One Day Platinum Gray,82.5,Daily disposable contact lenses for clear and comfortable vision.,"Consult eye care professional before use. Follow instructions for proper insertion, removal, and care.",Eye Care,Contact Lens Related Issues,Contact Lenses Solution Type,English
Vicks VapoDrops + Cough Lozenges Honey Lemon Menthol,38.0,Soothe your cough and sore throat with these honey lemon menthol lozenges.,Do not exceed recommended dosage. Consult a doctor if symptoms persist.,"Cough, Cold & Flu",Cough,Lozenges,English
